variant_name,canonical_name
MB BANK,MB BANK
QUÂN ĐỘI,MB BANK
QUÂN ĐỘI MB,MB BANK
QUÂN ĐỘI MB BANK MB,MB BANK
QUÂN ĐỘI MBBANK,MB BANK
BẢO HIỂM QUÂN ĐỘI,BẢO HIỂM QUÂN ĐỘI (MIC)
BÁN LẺ KỸ THUẬT FPT,FPT RETAIL
VIỄN THÔNG QUỐC TẾ FPT,FPT TELECOM
VIỄN THÔNG FPT,FPT TELECOM
CHỨNG KHOÁN FPT,FPT SECURITIES
FPT,TẬP ĐOÀN FPT
AN NINH MẠNG VIETTEL,VIETTEL CYBER SECURITY
VIETTEL,TẬP ĐOÀN VIETTEL
VIETTEL AI,VIETTEL AI
VIETTEL CHT,VIETTEL CHT
VIETTEL IDC,VIETTEL IDC
CÔNG NGHIỆP VIỄN THÔNG QUÂN ĐỘI,TẬP ĐOÀN VIETTEL
CÔNG NGHIỆP VIỄN THÔNG QUÂN ĐỘI QUẢN LÝ TÀI SẢN VIETTEL,TẬP ĐOÀN VIETTEL
MẠNG LƯỚI VIETTEL CÔNG NGHIỆP VIỄN THÔNG QUÂN ĐỘI,VIETTEL NET
AN NINH MẠNG VIETTEL CÔNG NGHIỆP VIỄN THÔNG QUÂN ĐỘI,VIETTEL CYBER SECURITY
THỊNH VƯỢNG PHÁT TRIỂN,VPBANK
VIỆT NAM THỊNH VƯỢNG,VPBANK
VIỆT NAM THỊNH VƯỢNG VPBANK,VPBANK
TÀI CHÍNH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,FE CREDIT
DỊCH VỤ DU LỊCH TRẢI NGHIỆM Á CHÂU,DU LỊCH Á CHÂU
QUỐC TẾ Á CHÂU,QUỐC TẾ Á CHÂU
THỰC PHẨM Á CHÂU,ASIA FOODS
Á CHÂU,ACB
NGÂN HÀNG Á CHÂU ACB,ACB
LỬA Á CHÂU,LỬA Á CHÂU
BẢO HIỂM CÔNG THƯƠNG VIỆT NAM,BẢO HIỂM VIETINBANK (VBI)
CÔNG THƯƠNG VIỆT NAM,VIETINBANK
VIETINBANK,VIETINBANK
BẢO HIỂM VIETINBANK,VIETINBANK
GIẢI PHÁP CÔNG NGHỆ MCI,MCI
TƯ VẤN PHÂN TÍCH MCI,MCI
TƯ VẤN MCI VIỆT NAM,MCI
HỆ THỐNG NHÀ SÁCH PHƯƠNG NAM,NHÀ SÁCH PHƯƠNG NAM
NHÀ SÁCH PHƯƠNG NAM KHU VỰC 2,NHÀ SÁCH PHƯƠNG NAM
BÁN LẺ PHƯƠNG NAM NHÀ SÁCH PHƯƠNG NAM,NHÀ SÁCH PHƯƠNG NAM
AVERY DENNISON,AVERY DENNISON
AVERY DENNISON RBIS VIETNAM,AVERY DENNISON
AVERY DENNISON VIETNAM,AVERY DENNISON
CROSSIAN,CROSSIAN
CÔNG NGHỆ GIẢI PHÁP PHẦN MỀM CROSSIAN,CROSSIAN
CROSSIAN VIỆT NAM,CROSSIAN
SIMPSON STRONG TIE VIỆT NAM,SIMPSON STRONG TIE
SIMPSON STRONG TIE VIET NAM,SIMPSON STRONG TIE
SIMPSON STRONG TIE VIETNAM,SIMPSON STRONG TIE
DI CHUYỂN THÔNG MINH GSM,XANH SM (GSM)
DI CHUYỂN XANH THÔNG MINH GSM,XANH SM (GSM)
SÀI GÒN HÀ NỘI,SHB
TÀI CHÍNH SÀI GÒN HÀ NỘI,SHB FINANCE
BELLSYSTEM24 VIỆT NAM,BELLSYSTEM24
BELLSYSTEM24 VIETNAM,BELLSYSTEM24
KOMASPEC,KOMASPEC
KOMASPEC VIỆT NAM,KOMASPEC
CÔNG NGHỆ TRUYỀN THÔNG DAGORAS,DAGORAS
CÔNG NGHỆ DỮ LIỆU DAGORAS,DAGORAS
TÀI CHÍNH MIRAE ASSET,MIRAE ASSET
TÀI CHÍNH MIRAE ASSET VN,MIRAE ASSET
J T EXPRESS VIỆT NAM,J&T EXPRESS
J T EXPRESS,J&T EXPRESS
NGÂN HÀNG SHINHAN VIỆT NAM,SHINHAN BANK
TÀI CHÍNH SHINHAN VIỆT NAM,SHINHAN FINANCE
SHINHAN FINANCE,SHINHAN FINANCE
SHINHAN VIETNAM FINANCE,SHINHAN FINANCE
PIZZA 4P S,PIZZA 4P'S
NHÀ HÀNG PIZZA 4P S,PIZZA 4P'S
TP,TP
DỊCH VỤ CÔNG NGHỆ TP,TP
XNK AMI VIỆT NAM,AMI
AMI,AMI
SAPO,SAPO
CÔNG NGHỆ SAPO,SAPO
VIỆT NAM CONCENTRIX SERVICES,CONCENTRIX
VIETNAM CONCENTRIX SERVICES,CONCENTRIX
THƯƠNG MẠI K K,K K
K M VIỆT NAM,K M
GIÁO DỤC VIỆT MỸ,VIỆT MỸ
VIỆT MỸ SSU,VIỆT MỸ
GIẢI PHÁP GENE GENE SOLUTIONS,GENE SOLUTIONS
GENE SOLUTIONS,GENE SOLUTIONS
THIÊN THỦY MỘC,THIÊN THỦY MỘC
THƯƠNG MẠI THIÊN THỦY MỘC,THIÊN THỦY MỘC
VNDIRECT,VNDIRECT
CHỨNG KHOÁN VNDIRECT,VNDIRECT
ĐẦU TƯ HBR HOLDINGS,HBR HOLDINGS
HBR HOLDINGS,HBR HOLDINGS
SẢN XUẤT KINH DOANH VINFAST,VINFAST
VINFAST,VINFAST
BẢO HIỂM NHÂN THỌ MB AGEAS,MB AGEAS LIFE
BẢO HIỂM NHÂN THỌ MB AGEAS LIFE,MB AGEAS LIFE
VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,PNJ
VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN PNJ,PNJ
XNK THỦY SẢN CẦN THƠ,THỦY SẢN CẦN THƠ
XUẤT NHẬP KHẨU THỦY SẢN CẦN THƠ,THỦY SẢN CẦN THƠ
PHƯƠNG ĐÔNG,OCB
PHƯƠNG ĐÔNG OCB,OCB
NGÂN HÀNG THƯƠNG MẠI KỶ NGUYÊN THỊNH VƯỢNG,GPBANK
NGÂN HÀNG KỶ NGUYÊN THỊNH VƯỢNG GPBANK,GPBANK
ĐẦU TƯ THƯƠNG MẠI PHÁT TRIỂN CÔNG NGHỆ FSI,FSI
ĐẦU TƯ TM PHÁT TRIỂN CÔNG NGHỆ FSI,FSI
DỊCH VỤ GIAO HÀNG NHANH,GIAO HÀNG NHANH (GHN)
DV GIAO HÀNG NHANH,GIAO HÀNG NHANH (GHN)
THƯƠNG MẠI SẢN XUẤT NỆM MOUSSE LIÊN Á,NỆM LIÊN Á
TM SX NỆM MOUSSE LIÊN Á,NỆM LIÊN Á
DỊCH VỤ SECOM,SECOM
SECOM,SECOM
TECHCOMBANK,TECHCOMBANK
KỸ THƯƠNG VIỆT NAM,TECHCOMBANK
SOCOTEC VIỆT NAM,SOCOTEC
SOCOTEC,SOCOTEC
ĐẦU TƯ PHÁT TRIỂN NĂNG LƯỢNG MẶT TRỜI BÁCH KHOA,SOLARBK
ĐẦU TƯ PHÁT TRIỂN NĂNG LƯỢNG MẶT TRỜI BÁCH KHOA SOLARBK,SOLARBK
CÔNG NGHỆ TINH VÂN,TINH VÂN
CÔNG NGHỆ PHẦN MỀM TINH VÂN,TINH VÂN
VIET THAI INTERNATIONAL,VIET THAI INTERNATIONAL (VTI)
VIET THAI INTERNATIONAL VTI,VIET THAI INTERNATIONAL (VTI)
THƯƠNG MẠI VẬN TẢI PHƯƠNG ANH,PHƯƠNG ANH
PHƯƠNG ANH,PHƯƠNG ANH
UNILEVER,UNILEVER
QUỐC TẾ UNILEVER VIỆT NAM,UNILEVER
CÔNG NGHỆ THÔNG TIN BẢO VIỆT,BẢO VIỆT
CNTT BẢO VIỆT,BẢO VIỆT
DREAM VIET EDUCATION,KYNA ENGLISH
DREAM VIET EDUCATION KYNA ENGLISH,KYNA ENGLISH
GIÁO DỤC KDI,KDI
QUỐC TẾ KDI,KDI
PHÂN TÍCH XỬ LÝ DỮ LIỆU QT DATA VN,QT DATA VN
QT DATA VN,QT DATA VN
EARLY START,EARLY START (MONKEY)
MONKEY VIỆT NAM EARLY START,EARLY START (MONKEY)
TƯ VẤN CÔNG NGHỆ NGS,NGS
NGS,NGS
CÔNG NGHỆ HUAWEI VIỆT NAM,HUAWEI
HUAWEI,HUAWEI
CONFIDENTIAL,CONFIDENTIAL
CONFIDENTIAL JOBS,CONFIDENTIAL
KIMBERLY CLARK VIỆT NAM,KIMBERLY CLARK
KIMBERLY CLARK VIETNAM,KIMBERLY CLARK
ODS TECHNOLOGY SAIGON,ODS TECHNOLOGY SAIGON
SAIGON TECHNOLOGY,SAIGON TECHNOLOGY
EAST WEST INDUSTRIES VIỆT NAM,EAST WEST INDUSTRIES
EAST WEST INDUSTRIES VIETNAM LLC,EAST WEST INDUSTRIES
THUNDERSOFT VIỆT NAM,THUNDERSOFT
THUNDERSOFT,THUNDERSOFT
GALAXY DIGITAL HOLDINGS,GALAXY HOLDINGS
GALAXY HOLDINGS,GALAXY HOLDINGS
CT,CT
CT VIỆT NAM,CT
THẾ GIỚI DI ĐỘNG,THẾ GIỚI DI ĐỘNG (MWG)
THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THẾ GIỚI BABY,THẾ GIỚI BABY
MERCK HEALTHCARE,MERCK HEALTHCARE
SẢN XUẤT DƯỢC PHẨM MERCK HEALTHCARE,MERCK HEALTHCARE
KỸ THUẬT TÀI NGUYÊN MÔI TRƯỜNG,TÀI NGUYÊN MÔI TRƯỜNG
VIỆN TÀI NGUYÊN MÔI TRƯỜNG PHÁT TRIỂN BỀN VỮNG,VIỆN TÀI NGUYÊN MÔI TRƯỜNG BỀN VỮNG
CÔNG NGHỆ GIẢI PHÁP CMC, CMC GLOBAL
CÔNG NGHỆ CMC, CMC GLOBAL
KINH DOANH F88, F88
F88, F88
NAVIGOS SEARCH, NAVIGOS SEARCH
NAVIGOS SEARCH S CLIENT, NAVIGOS SEARCH
ĐẦU TƯ SẢN XUẤT XUẤT NHẬP KHẨU MINH ĐỨC, MINH ĐỨC
THƯƠNG MẠI SẢN XUẤT ĐỨC MINH, ĐỨC MINH
PANASONIC APPLIANCES VIETNAM, PANASONIC VIETNAM
PANASONIC VIETNAM, PANASONIC VIETNAM
